file,nbv,nbc,ck_command,ck_status,ck_mem,ck_time,ck_d4_command,ck_d4_status,ck_d4_mem,ck_d4_time,mc,ck_amc_command,ck_amc_status,ck_amc_mem,ck_amc_time,ck_amc_n,ck_amc_nsuccess,ck_amc_y,ck_amc_yl,ck_amc_yh
cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf,795,2424,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf, done, 537800, 2.99166,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf.unnf, done, 588185, 0.578254,214422263367705878526372370065293615059127624531968,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf --nb 10000 --alpha 0.01, done, 557916, 0.222503,10000, 10000, 2.14422e+50, 2.1428e+50, 2.14422e+50
cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf,57,152,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf, done, 536231, 0.188626,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf.unnf, done, 579788, 0.0393522,13122,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf --nb 10000 --alpha 0.01, done, 549560, 0.0585624,10000, 10000, 13122, 13113.3, 13122
cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf,140,350,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf, done, 536367, 0.188407,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf.unnf, done, 583983, 0.0419901,330301440,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf --nb 10000 --alpha 0.01, done, 549695, 0.0591544,10000, 10000, 3.30301e+08, 3.30082e+08, 3.30301e+08
cnf/soos/90-15-8-q.cnf.gz.no_w.cnf,1065,1680,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/90-15-8-q.cnf.gz.no_w.cnf, done, 537030, 0.380814,/d4/d4 -dDNNF /tmp/cnf/soos/90-15-8-q.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/90-15-8-q.cnf.gz.no_w.cnf.unnf, done, 584851, 0.0815628,7331559403129590068331208687020758653624765228075687047537011123791632385370343464792392772051104864109916034360063928339045596353810784435313926666640532382851295822842678298180301122938618566718730242107326783353838221723324821405531849499257419595776,/capkc/build/appmc --cnf /tmp/cnf/soos/90-15-8-q.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 550563, 0.206487,10000, 10000, 7.33156e+252, 7.3267e+252, 7.33156e+252
cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf,1920,3040,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf, done, 537833, 2.71888,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf.unnf, done, 585883, 0.283562,2506295055763174672750476925289828988785252078744919704453160223659463112905852751384520371831815563560687515467974783243283991289161677444194045756924943903786824730615675974131168974558907928307725162164208945906076055625780005851493811907082889827825185995137951063526148908931692930703766815429584052663777912045312959146145777814937587650041065281103859617824365603273432668032275111170617047130124508612572684431360304947462961144460343411030104211456,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf --nb 10000 --alpha 0.01, done, 551882, 0.424467,10000, 10000, 2.5063e+456, 2.50463e+456, 2.5063e+456
cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf,1275,4032,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf, done, 538943, 13.0641,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.unnf, done, 599789, 3.85111,174658600280016239740483697612234749933289002906194171778420021456273408,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf --nb 10000 --alpha 0.01, done, 579194, 0.532165,10000, 10000, 1.74659e+71, 1.74543e+71, 1.74659e+71
cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,1377,2176,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf, done, 537333, 40.8042,/d4/d4 -dDNNF /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.unnf, done, 635699, 14.6407,3316158518186977171087283760642741158699936149735704467159471849921418683482035763477878926564345847729145083728966646356210626353328840324989147544629059746554141479347263264595425816446455256534872353644097455203319930608430165174159005378955830171087831965898486080345430665055936553487340789901656166618033483630075818541056,/capkc/build/appmc --cnf /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 654499, 1.64556,10000, 10000, 3.31616e+327, 3.31396e+327, 3.31616e+327
cnf/plazar/Blasted_Real/blasted_case14.cnf,247,649,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case14.cnf, done, 737828, 0.26369,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case14.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case14.cnf.unnf, done, 580472, 0.0964853,562949953421312,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case14.cnf --nb 10000 --alpha 0.01, done, 550690, 0.085202,10000, 10000, 5.6295e+14, 5.62577e+14, 5.6295e+14
cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf,3540,13425,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf, done, 547926, 73.4787,/d4/d4 -dDNNF /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf.unnf, done, 593321, 3.52652,139767338668606357504,/capkc/build/appmc --cnf /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 566751, 0.351209,10000, 10000, 1.39767e+20, 1.39675e+20, 1.39767e+20
cnf/lagniez/BayesianNetwork/Ratio_75/75-16-9-q.cnf,1216,1920,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_75/75-16-9-q.cnf, done, 537341, 125.898,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_75/75-16-9-q.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_75/75-16-9-q.cnf.unnf, done, 785879, 56.915,9745314011399999080353382387875188310876226857595007526867906457212948690766426102465615065882010259225304916231408668183459169865203094046577987296312653419531277699956473029870789655490053648352799593479218378873685597925394874945746363615468965612827738803104277547081828589991914110976,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_75/75-16-9-q.cnf --nb 10000 --alpha 0.01, done, 906424, 5.21592,10000, 10000, 9.74531e+288, 9.73885e+288, 9.74531e+288
